title#,word,tag
1,adidas,O
1,Originals,O
1,-,O
1,Superstar,O
1,-,O
1,Valkoinen,O
1,-,O
1,US,O
1,"5,5",O
2,Sc,O
2,-,O
2,Erna,O
2,Polvipituinen,O
2,Hame,O
2,Sininen,O
2,Soyaconcept,O
3,Dana,B-PERSON
3,Buchman,I-PERSON
3,Silmälasit,O
3,Taren,O
3,CARAMEL,O
3,TORTOISE,O
4,Active,O
4,Sports,O
4,Woven,O
4,Shorts,O
4,B,O
4,Shortsit,O
4,Musta,O
4,PUMA,O
5,Renata,B-PERSON
5,Polvipituinen,I-PERSON
5,Hame,O
5,Musta,O
5,Fall,O
5,Winter,B-DATE
5,Spring,I-DATE
5,Summer,O
6,Salo,O
6,M,O
6,Technical,O
6,Polo,O
6,Polos,O
6,Short,O
6,-,O
6,sleeved,O
6,Sininen,B-PERSON
6,Halti,I-PERSON
7,Tennarit,O
7,ML850CD,O
8,G9,O
8,Orange,O
8,Shiny,O
9,Diesel,B-ORG
9,Aurinkolasit,I-ORG
9,DL0076,I-ORG
9,90,B-CARDINAL
9,G,O
10,Dotti,B-ORG
10,Tyyny,I-ORG
10,50x50,I-ORG
10,cm,I-ORG
10,",",O
10,Mix,O
11,Kengät,B-PERSON
11,Jonak,I-PERSON
11, ,O
11,DIDLANEO,O
12,Lyhyt,B-ORG
12,mekko,O
12,See,O
12,U,O
12,Soon,O
12, ,O
12,SANTINE,O
13,Dsquared2,O
13,Silmälasit,O
13,DQ5126,O
13,072,B-CARDINAL
14,Stussy,O
14,-,O
14,Basic,O
14,Tee,O
14,-,O
14,Musta,O
14,-,O
14,M,O
15,Kengät,B-PERSON
15,Grisport,I-PERSON
15, ,O
15,Nero,B-GPE
15,Dakar,O
15,10309D109,O
15,G,O
16,Vredestein,B-PERSON
16,AW,I-PERSON
16,(,O
16,15.0/55,O
16,-17,O
16,134A8,O
16,TL,O
16,),O
17,Ryders,B-ORG
17,Aurinkolasit,I-ORG
17,TRAPPER,I-ORG
17,R02502A,O
18,Farah,B-PERSON
18,Silmälasit,I-PERSON
18,FHO,O
18,1011,B-DATE
18,113,O
19,F-7301,O
19,Korolliset,B-PERSON
19,Sandaalit,I-PERSON
19,Ruskea,I-PERSON
19,Wonders,I-PERSON
20,G4,O
20,PRO,B-ORG
20,White,O
20,mirror,O
21,Tennarit,O
21,CTALYMSI,O
22,Sukat,B-PERSON
22,Bamboo,I-PERSON
22,Socks,I-PERSON
22,",",O
22,5,B-CARDINAL
22,paria,O
23,Cazal,O
23,Silmälasit,O
23,4267,B-DATE
23,004,O
24,13294,B-DATE
24,Bags,B-WORK_OF_ART
24,Small,I-WORK_OF_ART
24,Shoulder,I-WORK_OF_ART
24,Bags,I-WORK_OF_ART
24,-,I-WORK_OF_ART
24,Crossbody,I-WORK_OF_ART
24,Bags,I-WORK_OF_ART
24,Kermanvärinen,I-WORK_OF_ART
24,DEPECHE,I-WORK_OF_ART
25,Madina,B-PERSON
25,W,I-PERSON
25,Tee,O
25,T,O
25,-,O
25,shirts,O
25,&,O
25,Tops,O
25,Short,O
25,-,O
25,sleeved,O
25,Musta,O
25,8848,B-DATE
